TS,D49771,Amazon.com,BIM,1/24/2018,"Computer (Laptop, Desktop or Tablet)","$306.98 ","1tb ssd with mounting bracket",
TS,D49772,Crucial.com,BIM,1/24/2018,"Computer (Laptop, Desktop or Tablet)","$436.98 ","32gb DDR4 ram for new cad desktop",
SH,D49773,Amazon.com,17-0503,1/24/2018,Miscellaneous,"$41.98 ","Phone battery and Microsoft Surface Stylus ",
TS,D49774,"Zoho Corp (ManageEngine)",Corp,1/24/2018,software,"$1,495.00 ","Annual renewal for AD Manager",
SH,D49775,Amazon.com,"Eugene door dept",1/24/2018,Miscellaneous,"$326.98 ","Large display for Brian Keys approved by Doug",
TS,D49776,SHi,17-0546,1/24/2018,"Computer (Laptop, Desktop or Tablet)","$1,212.66 ","t570 laptop with ram and warranty for Travis Campbell",
AC,D49777,amazon.com,Corp,1/17/2018,Miscellaneous,"$60.40 ","Plugable USB and HDMI to DVI cable for Ben English",
TS,D49778,Amazon.com,18-0738,1/26/2018,Miscellaneous,"$160.23 ","Bluetooth speakers for the warehouse vehicles",
SH,D49779,SHi,"Split cost between 17-0422 and 17-0627",1/26/2018,Software,"$296.86 ","MSFT Project Std for JJ Knight",
DG,D49780,Amazon,Sumner,1/29/2018,Server,"$969.98 ","File server for Sumner",
AC,D49781,amazon.com,Corp,1/30/2018,Miscellaneous,"$59.99 ","IBM Lenovo Think pad Screen",
AC,D49782,amazon.com,17-0027,1/30/2018,Miscellaneous,"$165.62 ","Otterbox and utility latch for OSHU floating iPads",
AC,D49783,amazon.com,Corp,2/1/2018,Miscellaneous,"$17.89 ","Alpha glass series screen protector for case",
AC,D49784,amazon.com,18-0751,02/05/2018,Miscellaneous,"$420.79 ","Docking station and monitor for Mike Petitte",
AC,D49785,amazon.com,17-0546,02/06/2018,Miscellaneous,"$833.83 ","4 monitors, 2 HDMI cable and 1 USB Plugable for Nathan Sumsion",
TS,D49786,SHI,17-0429,02/06/2018,"Computer (Laptop, Desktop or Tablet)","$2,076.92 ","Surface Pro with dock, case, type cover, case, warranty for Dustin Meissner",
TS,D49787,SHI,17-0546,02/06/2018,"Computer (Laptop, Desktop or Tablet)","$1,365.66 ","Laptop with warranty and dockingstation for Suleiman Ali",
AC,D49788,amazon.com,17-0600,02/07/2018,Miscellaneous,"$313.95 ","Printer for Jimmy Hagen ",
SH,D49789,Amazon.com,17-0546,02/07/2018,Miscellaneous,"$161.76 ","Docking Station for Travis Campbell - Sumner PE",
SH,D49790,Amazon.com,"Eugene Door Department",02/07/2018,Miscellaneous,"$329.97 ","Ram and SSD HDD for Nick Tollefson per Doug D.",
MM,D49791,"Cloudberry (digital river)",Corp,1/19/2018,software,"$16.00 ","Yearly maintenance for Cloudberry backup software",
MM,D49792,Techsmith,"Corp - Rich Elliott",1/31/2018,software,"$99.50 ","Camtasia upgrade for Rich Elliott",
TS,D49793,"Zoho Corp (ManageEngine)",Corp,02/12/2018,software,"$1,153.00 ","Annual renewal for Desktop Central software and support.",
SH,D49794,Amazon.com," OSU Atami project.",02/12/2018,Miscellaneous,,,
AC,D49795,amazon.com,Corp,2/13/2018,Miscellaneous,"$179.94 ","Laptop Bags for stock",
MM,D49796,"Cloudberry (digital river)",Corp,1/19/2018,software,"$280.00 ","Cloudberry Backup software for Corporate",
DG,D49797,Skyxoft,Corp,1/19/2018,Software,"$432.00 ","Expiration reminder cloud solution",
DG,D49798,Symless,Corp,1/22/2018,Software,"$49.00 ","Desktop management",
DG,D49799,Newegg,Sumner,1/23/2018,Server,"$2,773.39 ","File server for Sumner",
TS,D49800,SHI,"BIM- PDX/SEA",2/14/2018,software,"$5,230.18 ","Autodesk AECC subscription renewal for David Krein and Nick Hyett-Schnell",
AC,D49801,amazon.com,Reno,2/14/2018,Miscellaneous,"$9.00 ","Belt clip for Orlando Guzman's phone",
AC,D49802,amazon.com,Reno,2/14/2018,Miscellaneous,"$378.90 ","2 ASUS 27"" monitor for Weston Espinosa",
AC,D49803,SHI,"Reno = $742.54, Corp = $371.27, Eugene =$ 371.27, 17-0544 = $371.27",2/14/2018,Miscellaneous,"$1,856.35 ","5 Bluebeam Revu license",
TS,D49804,SHI,All,2/14/2018,software,"$12,916.05 ","Maintenance and licensing renewal for Bluebeam",
TS,D49805,SHI,"PDX, PDX-Jim Liggett",2/14/2018,"Computer (Laptop, Desktop or Tablet)","$4,512.22 ","Estimator laptop for Jim Ligget and stock. With dock and warranty.",
AC,D49806,amazon.com,Reno,2/15/2018,Miscellaneous,"$195.77 ","Docking station for Weston Espinosa for W541",
SH,D49807,Amazon.com,"Corp inventory",2/15/2018,Miscellaneous,"$43.17 ","Samsung S7 belt clips",
AC,D49808,amazon.com,Corp,2/16/2018,Miscellaneous,"$111.84 ","iPad chargers/Apple chargers",
DG,D49809,Bridgetech,"17-0546, 17-0698",02/12/2018,Network,"$1,836.98 ","Firewalls for two jobs",
DG,D49810,Bridgetech,"Multiple, see PO form",01/11/2018,Network,"$2,645.63 ","Firewall renewal coterms",
DG,D49811,Bridgetech,"Seattle Office",1/26/2018,Network,"$1,573.00 ","Wireless access points",
TS,D49812,SHI,"Corp software",2/19/2018,software,"$705.90 ","Veeam agents for physical servers 1 yr",
TS,D49813,SHI,17-0429,2/19/2018,"Computer (Laptop, Desktop or Tablet)","$85.00 ","surface pen for Dustin meissner",
DG,D49814,Godaddy,Corp,2/19/2018,Network,"$72.85 ","Domain wpibuild.com",
SH,D49815,Amazon.com,"17-0698 Eastside Tali Hall",2/20/2018,Miscellaneous,"$130.80 ","iPad latch for Sumner Field (Qty 3)",
SH,D49816,Amazon.com,"17-0544 SeaTac IAF",2/20/2018,Miscellaneous,"$1,009.05 ","display, cables, docking station",
AC,D49817,amazon.com,Eugene,2/21/2018,Miscellaneous,"$164.85 ","3 USB Plugable",
TS,D49818,SHI,"18-0794, 17-0451",2/21/2018,"Computer (Laptop, Desktop or Tablet)","$3,204.38 ","t570 laptop with warranty for Ty hunter and dustin robertson",
TS,D49819,SHI,Portland,2/26/2018,"Computer (Laptop, Desktop or Tablet)","$2,219.72 ","PM\estimator ultrabook for stock",
TS,D49820,SHI,Portland,2/21/2018,"Computer (Laptop, Desktop or Tablet)","$4,364.45 ","3 foreman grade laptops for stock",
AC,D49821,amazon.com,17-0455,2/23/2018,Miscellaneous,"$138.78 ","Docking station for Danny Rockway",
TS,D49822,Amazon.com,"18-0001, pdx",2/26/2018,Miscellaneous,"$274.41 ","video cables and kyeboard compos for stock. Cell phone car mounts for warehouse",
SH,D49823,Amazon.com,"Corporate - Ray Rask",2/26/2018,Miscellaneous,"$27.99 ","Monitor mount bracket for large display",
SH,D49824,Newegg,"Split charge between Job # 17-0216, Job # 17-0539",2/27/2018,Miscellaneous,"$681.37 ","2 Brother J6930 printers for the VA Datas in Spokane",
TS,D49825,SHI,SEA,2/28/2018,"Computer (Laptop, Desktop or Tablet)","$2,992.63 ","x1 yoga laptop with 2 docks and warranty for sunny smith",
TS,D49826,SHI,PDX,2/28/2018,"Computer (Laptop, Desktop or Tablet)","$2,219.72 ","t480s laptop with warranty and dock for Bernie bishoff",
MM,D49827,SHI,Corp,2/28/2018,software,"$15,764.76 ","SQL Server licenses for WPIVista",
MM,D49828,"Copiers NW","Corp / PDX",2/28/2018,Printer,"$17,180.54 ","(2) Canon Imagerunner IRC5540i copiers for Wilsonville Office",
JM,D49829,SHI,Corp,03/01/2018,"Hard drive  ","$8,182.88 ","Eight HPE SSD for VSAN cluster",
JM,D49830,iLand,Corp,03/01/2018,"Disaster recovery","$2,221.63 ","Implement Zerto software & connectivity to iLand datacenter",
TS,D49831,"Druva ",regional,03/07/2018,software,"$21,294.00 ","Renewal for Druva client backup",
SH,D49832,Newegg,"17-0698 Eastside Tali Hall",03/02/2018,Miscellaneous,"$251.38 ","Printer for Nick Herrmann",
DG,D49833,Amazon.com,17-0546,03/05/2018,Network,"$49.15 ","Cat6 Cables",
TS,D49834,SHI,PDX,03/05/2018,"Computer (Laptop, Desktop or Tablet)","$2,254.98 ","t480s laptop with warranty and dock for Devin Deller",
SH,D49835,Amazon.com,"Corporate - inventory",03/05/2018,Miscellaneous,"$18.75 ","for inventory",
SH,D49836,SHi,"Split PDX and Eugene",03/05/2018,Software,"$1,856.35 ","Bluebeam licenses for Ty Hunter and Dustin Robertson, others",
SH,D49837,Amazon.com,"Corporate - inventory",03/05/2018,Miscellaneous,"$168.67 ","Backpacks and Samsung charging cables",
SH,D49838,Amazon.com,"Corporate - Zach Tyler",03/07/2018,Miscellaneous,"$43.65 ","Headset for Zach Tyler approved by David Krein",
AC,D49839,"Apple Store",Eugene,2/22/2018,Software,"$24.99 ","App for iPad - Eugene office",
